"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
1854" "M" "G" "Enkhuizen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/d_/Aannemers>" 2 "21240"
"324" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aannemers>" 5 "21240"
"336" "Aannemers" "A" "23
---
24

1866
  ---
1865" "M" "G" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aannemers>" 1 "21240"
"348" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aannemers>" 50 "21240"
"360" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aannemers>" 1 "21240"
"372" "Aannemers" "A" "71
en
daarboven

1818
en
vroeger" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aannemers>" 1 "21240"
"384" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "G" "Texel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Texel/III/d_/Aannemers>" 1 "21240"
"396" "Aannemers" "A" "61
---
65

1828
  ---
1824" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aannemers>" 1 "21240"
"408" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aannemers>" 1 "21240"
"420" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "G" "Hilversum" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/d_/Aannemers>" 1 "21240"
"432" "Aannemers" "A" "51
---
60

1838
  ---
1829" "M" "G" "Purmerend" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/d_/Aannemers>" 2 "21240"
"444" "Aannemers" "B" "23
---
24

1866
  ---
1865" "M" "O" "Purmerend" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/d_/Aannemers>" 1 "21240"
"446" "Aardewerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"448" "Aardewerkers" "D" "51
---
60

1838
  ---
1829" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"450" "Aardewerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 1 "89200"
"452" "Aardewerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 10 "89200"
"454" "Aardewerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 1 "89200"
"456" "Aardewerkers" "D" "23
---
24

1866
  ---
1865" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"458" "Aardewerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"460" "Aardewerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 1 "89200"
"462" "Aardewerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 2 "89200"
"464" "Aardewerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 1 "89200"
"466" "Aardewerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 5 "89200"
"468" "Aardewerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"470" "Aardewerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 6 "89200"
"472" "Aardewerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 2 "89200"
"474" "Aardewerkers" "D" "36
---
50

1853
  ---
