"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
---
65

1828
  ---
1824" "M" "G" "Enkhuizen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/b_/loodgieters>" 1 "87105"
"182317" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 8 "87105"
"182330" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 40 "87105"
"182343" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 2 "87105"
"182356" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 1 "87105"
"182369" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"182382" "Loodgieters" "A" "66
---
70

1823
---
1818" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 2 "87105"
"182395" "Loodgieters" "A" "71
en
daarboven

1818
en
vroeger" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 2 "87105"
"182408" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 3 "87105"
"182421" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Edam" "III" "b" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/b/Loodgieters>" 1 "87105"
"182434" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Haarlemmermeer" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/b_/Loodgieters>" 1 "87105"
"182447" "Loodgieters" "A" "66
---
70

1823
---
1818" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 2 "87105"
"182460" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Velsen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/b_/Loodgieters>" 2 "87105"
"182473" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"182486" "Loodgieters" "A" "61
---
65

1828
  ---
1824" "M" "G" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 1 "87105"
"182499" "Loodgieters" "A" "23
---
24

1866
  ---
1865" "M" "O" "Edam" "III" "b" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/b/Loodgieters>" 1 "87105"
"182512" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 4 "87105"
"182525" "Loodgieters" "A" "61
---
65

1828
  ---
1824" "V" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182538" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 4 "87105"
"182551" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"182564" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "V" "G" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 1 "87105"
"182577" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 3 "87105"
"182590" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 5 "87105"
"182603" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 3 "87105"
"182616" "Loodgieters" "A" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 8 "87105"
"182629" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"182642" "Loodgieters" "A" "18
---
22

1871
  ---
1867" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182655" "Loodgieters" "A" "66
---
70

1823
---
1818" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182668" "Loodgieters" "A" "66
---
70

1823
---
1818" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"182681" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"182694" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 10 "87105"
"182707" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "M" "G" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 1 "87105"
"182720" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 4 "87105"
"182733" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "M" "G" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 1 "87105"
"182746" "Loodgieters" "A" "16
---
17

1873
  ---
1872" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182759" "Loodgieters" "A" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 2 "87105"
"182772" "Loodgieters" "A" "23
---
24

1866
  ---
1865" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 2 "87105"
"182785" "Loodgieters" "A" "36
---
50

1853
  ---
1839" "V" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182798" "Loodgieters" "A" "51
---
60

1838
  ---
1829" "M" "G" "Velsen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/b_/Loodgieters>" 2 "87105"
"182811" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 30 "87105"
"182824" "Loodgieters" "A" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 2 "87105"
"182837" "Loodgieters" "A" "66
---
70

1823
---
1818" "V" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"182850" "Loodgieters" "A" "71
en
daarboven

1818
en
vroeger" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182863" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "G" "Zaandam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/b_/Loodgieters>" 1 "87105"
"182876" "Loodgieters" "A" "25
---
35

1864
  ---
1854" "M" "O" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 1 "87105"
"182889" "Loodgieters" "A" "23
---
24

1866
  ---
1865" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182902" "Loodgieters" "C" "25
---
35

1864
  ---
1854" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"182906" "Loodgieters" "C" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 1 "87105"
"182910" "Loodgieters" "C" "36
---
50

1853
  ---
1839" "M" "G" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 1 "87105"
"182914" "Loodgieters" "C" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"182918" "loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Enkhuizen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/b_/loodgieters>" 1 "87105"
"182919" "loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "O" "Enkhuizen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/b_/loodgieters>" 1 "87105"
"182920" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 10 "87105"
"182933" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 8 "87105"
"182946" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"182959" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 10 "87105"
"182972" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 10 "87105"
"182985" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 3 "87105"
"182998" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 40 "87105"
"183011" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 4 "87105"
"183024" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 1 "87105"
"183037" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"183050" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 40 "87105"
"183063" "Loodgieters" "D" "71
en
daarboven

1818
en
vroeger" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"183076" "Loodgieters" "D" "12


1878" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 2 "87105"
"183089" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Velsen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/b_/Loodgieters>" 1 "87105"
"183102" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 1 "87105"
"183115" "Loodgieters" "D" "51
---
60

1838
  ---
1829" "M" "G" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"183128" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 130 "87105"
"183141" "Loodgieters" "D" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 2 "87105"
"183154" "Loodgieters" "D" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 10 "87105"
"183167" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "G" "Zaandam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/b_/Loodgieters>" 1 "87105"
"183180" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 8 "87105"
"183193" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 2 "87105"
"183206" "Loodgieters" "D" "Geboortejaren.  leeftijd in j." "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 2 "87105"
"183219" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"183232" "Loodgieters" "D" "66
---
70

1823
---
1818" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 4 "87105"
"183245" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 2 "87105"
"183258" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Edam" "III" "b" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/b/Loodgieters>" 1 "87105"
"183271" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 5 "87105"
"183284" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Edam" "III" "b" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/b/Loodgieters>" 1 "87105"
"183297" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 10 "87105"
"183310" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 90 "87105"
"183323" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"183336" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"183349" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 20 "87105"
"183362" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Velsen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/b_/Loodgieters>" 1 "87105"
"183375" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 10 "87105"
"183388" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 1 "87105"
"183401" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 2 "87105"
"183414" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "G" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 1 "87105"
"183427" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Zaandam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/b_/Loodgieters>" 2 "87105"
"183440" "Loodgieters" "D" "13


1876" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 5 "87105"
"183453" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Sloten" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/III/b_/Loodgieters>" 1 "87105"
"183466" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Zaandam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/b_/Loodgieters>" 2 "87105"
"183479" "Loodgieters" "D" "13


1876" "M" "O" "Velsen" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/b_/Loodgieters>" 1 "87105"
"183492" "Loodgieters" "D" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/b_/Loodgieters>" 7 "87105"
"183505" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Sloten" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/III/b_/Loodgieters>" 1 "87105"
"183518" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 60 "87105"
"183531" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 6 "87105"
"183544" "Loodgieters" "D" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 2 "87105"
"183557" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 2 "87105"
"183570" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Purmerend" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/b_/Loodgieters>" 2 "87105"
"183583" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "O" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"183596" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 5 "87105"
"183609" "Loodgieters" "D" "36
---
50

1853
  ---
1839" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 1 "87105"
"183622" "Loodgieters" "D" "14
---
15

1875
  ---
1874" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"183635" "Loodgieters" "D" "16
---
17

1873
  ---
1872" "M" "O" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"183648" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "III" "b. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/b_/Loodgieters>" 7 "87105"
"183661" "Loodgieters" "D" "23
---
24

1866
  ---
1865" "M" "G" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 2 "87105"
"183674" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "G" "Weesp" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/b_/Loodgieters>" 1 "87105"
"183687" "Loodgieters" "D" "13


1876" "M" "O" "Alkmaar." "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/b_/Loodgieters>" 1 "87105"
"183700" "Loodgieters" "D" "51
---
60

1838
  ---
1829" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 3 "87105"
"183713" "Loodgieters" "D" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 20 "87105"
"183726" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "O" "Hilversum" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/b_/Loodgieters>" 2 "87105"
"183739" "Loodgieters" "D" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 30 "87105"
"183752" "Loodgieters" "D" "12


1878" "M" "O" "Amsterdam" "III" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/b_/Loodgieters>" 4 "87105"
"183765" "Loodgieters" "D" "18
---
22

1871
  ---
