ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
156;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;B;21110;;
157;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;C;74990;;
158;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;D;74990;;
159;Fabricage van eau de cologne;fabricage van eau de cologne;A;21110;;
160;Fabricage van eau de cologne;fabricage van eau de cologne;C;01190;;
161;Fabricage van eau de cologne;fabricage van eau de cologne;D;01190;;
162;Fabricage van haarwater;fabricage van haarwater;A;21110;;
163;Fabricage van machinepoeder;fabricage van machinepoeder;A;21110;;
164;Fabricage van parfumeriën;fabricage van parfumeriën;A;21110;;
165;Fabricage van parfumeriën;fabricage van parfumeriën;D;01190;;
166;Fabricage van photographiepraeparaten. ;fabricage van photographiepraeparaten;A;21110;;
167;Mest- en dierlijk afvalstoffen.;mest en dierlijk afvalstoffen;;;;
168;Fabricage van kunstmest;fabricage van kunstmest;D;74990;;
169;Ontplofbare stoffen, lucifers, enz.;ontplofbare stoffen lucifers enz;;;;
170;Fabricage van buskruit;fabricage van buskruit;A;21110;;
171;Fabricage van buskruit;fabricage van buskruit;B;21110;;
172;Fabricage van lucifers (incl. zwavelstokken);fabricage van lucifers incl zwavelstokken;A;21110;;
173;Fabricage van kruit (patronen);fabricage van kruit patronen;C;74990;;
174;Fabricage van vuurmakers;fabricage van vuurmakers;A;21110;;
175;Fabricage van vuurmakers;fabricage van vuurmakers;D;74990;;
176;Fabricage van vuurwerk;fabricage van vuurwerk;D;74990;;
177;Verstoffen, enz.;verstoffen enz;;;;
178;Fabricage van drukinkt;fabricage van drukinkt;A;21110;;
179;Fabricage van inkt;fabricage van inkt;A;21110;;
180;Fabricage van lak;fabricage van lak;A;21110;;
181;Fabricage van lak;fabricage van lak;D;74990;;
182;Fabricage van lijm;fabricage van lijm;A;21110;;
183;Fabricage van verfstoffen;fabricage van verfstoffen;A;21110;;
184;Fabricage van verfstoffen;fabricage van verfstoffen;C;74990;;
185;Fabricage van verfstoffen;fabricage van verfstoffen;D;74990;;
186;Fabricage van zinkwit;fabricage van zinkwit;D;74990;;
187;Totaal voor IV;totaal voor iv;A;;;
188;Totaal voor IV;totaal voor iv;B;;;
189;Totaal voor IV;totaal voor iv;C;;;
190;Totaal voor IV;totaal voor iv;D;;;
191;Totaal voor groep IV;totaal voor groep iv;;;;
192;Hout-, kurk-, stroobewerking, snijen draaiwerk van verschillende stoffen, enz.;hout kurk stroobewerking snijen draaiwerk van verschillende stoffen enz;;;;
193;Hout.;hout;;;;
194;Doodkistenmakers;doodkistenmakers;A;81990;;
195;Doodkistenmakers;doodkistenmakers;D;81990;;
196;Fabricage van houtwaren;fabricage van houtwaren;A;21110;;
197;Fabricage van houtwaren;fabricage van houtwaren;C;81000;;
198;Fabricage van jalouziën ;fabricage van jalouziën;A;21110;;
199;Fabricage van jalouziën ;fabricage van jalouziën;C;94990;;
200;Fabricage van jalouziën ;fabricage van jalouziën;D;94990;;
201;Fabricage van leesten;fabricage van leesten;A;21110;;
202;Fabricage van lijsten;fabricage van lijsten;A;21110;;
203;Fabricage van lijsten;fabricage van lijsten;D;81000;;
204;Fabricage van meubels (Meubelmakers);fabricage van meubels meubelmakers;A;21110;;
205;Fabricage van meubels (Meubelmakers);fabricage van meubels meubelmakers;B;21110;;
206;Fabricage van meubels (Meubelmakers);fabricage van meubels meubelmakers;D;81120;;
207;Fabricage van stoelen;fabricage van stoelen;A;21110;;
208;Fabricage van stoelen;fabricage van stoelen;D;81120;;
209;Houtbereiders (creosoteering);houtbereiders creosoteering;B;73130;;
210;Houtbereiders (creosoteering);houtbereiders creosoteering;C;73130;;
211;Houtbereiders (creosoteering);houtbereiders creosoteering;D;73130;;
212;Houthakkers;houthakkers;D;63110;;
213;Houtzagers;houtzagers;A;81225;;
214;Houtzagers;houtzagers;C;81225;;
215;Houtzagers;houtzagers;D;81225;;
216;Klompenmakers;klompenmakers;A;81990;;
217;Klompenmakers;klompenmakers;D;81990;;
218;Kuipers;kuipers;A;81930;;
219;Kuipers;kuipers;C;81930;;
220;Kuipers;kuipers;D;81930;;
221;Modelmakers;modelmakers;D;89220;;
222;Verlakkers;verlakkers;A;93920;;
223;Verlakkers;verlakkers;D;93920;;
224;Witwerkers;witwerkers;A;81190;32;
225;Witwerkers;witwerkers;D;81190;32;
226;"Kurk-, stroo-, borstelwerk; vlechtwerk van verschillende stoffen.";kurk stroo borstelwerk vlechtwerk van verschillende stoffen;;;;
227;Fabricage van borstels;fabricage van borstels;A;21110;;
228;Fabricage van borstels;fabricage van borstels;D;94290;;
229;Fabricage van kurk;fabricage van kurk;A;21110;;
230;Fabricage van kurk;fabricage van kurk;D;73290;;
231;Fabricage van manden en mandenwerk.;fabricage van manden en mandenwerk;A;21110;;
232;Fabricage van manden en mandenwerk.;fabricage van manden en mandenwerk;D;94220;;
