"","num","txt"
"488","38000","Male"
"489","38000","Female"
"490","38000","Married"
"491","38000","Unmarried"
"492","39120","Alkmaar"
"493","39120","Amsterdam"
"494","39120","Den Helder"
"495","39120","Enkhuizen"
"496","39120","Haarlem"
"497","39120","Hilversum"
"498","39120","Hoorn"
"499","39120","Nieuwer Amstel"
"500","39120","Purmerend"
"501","39120","Sloten"
"502","39120","Velsen"
"503","39120","Zaandam"
"504","39120","A"
"505","39120","B"
"506","39120","C"
"507","39120","D"
"508","39120","12 to 13 years"
"509","39120","16 to 17 years"
"510","39120","18 to 22 years"
"511","39120","23 to 35 years"
"512","39120","36 to 50 years"
"513","39120","51 to 60 years"
"514","39120","66 to 70 years"
"515","39120","More than 71 years"
"516","39120","Geboortejaren.  leeftijd in j."
"517","39120","Male"
"518","39120","Female"
"519","39120","Married"
"520","39120","Unmarried"
"521","39140","Amsterdam"
"522","39140","C"
"523","39140","23 to 35 years"
"524","39140","61 to 65 years"
"525","39140","Male"
"526","39140","Female"
"527","39140","Married"
"528","39140","Unmarried"
"529","39190","Amsterdam"
"530","39190","Zaandam"
"531","39190","A"
"532","39190","D"
"533","39190","23 to 35 years"
"534","39190","36 to 50 years"
"535","39190","51 to 60 years"
"536","39190","61 to 65 years"
"537","39190","66 to 70 years"
"538","39190","More than 71 years"
"539","39190","Male"
"540","39190","Married"
"541","39190","Unmarried"
"542","41020","Amsterdam"
"543","41020","Enkhuizen"
"544","41020","Hilversum"
"545","41020","Zaandam"
"546","41020","A"
"547","41020","23 to 35 years"
"548","41020","36 to 50 years"
"549","41020","51 to 60 years"
"550","41020","61 to 65 years"
"551","41020","66 to 70 years"
"552","41020","Male"
"553","41020","Female"
"554","41020","Married"
"555","41020","Unmarried"
"556","41025","Alkmaar"
"557","41025","Amsterdam"
"558","41025","Den Helder"
"559","41025","Edam"
"560","41025","Enkhuizen"
"561","41025","Haarlem"
"562","41025","Haarlemmermeer"
"563","41025","Hilversum"
"564","41025","Hoorn"
"565","41025","Nieuwer Amstel"
"566","41025","Purmerend"
"567","41025","Sloten"
"568","41025","Texel"
"569","41025","Velsen"
"570","41025","Weesp"
"571","41025","Zaandam"
"572","41025","A"
"573","41025","B"
"574","41025","D"
"575","41025","12 to 13 years"
"576","41025","14 to 15 years"
"577","41025","16 to 17 years"
"578","41025","18 to 22 years"
"579","41025","23 to 35 years"
"580","41025","36 to 50 years"
"581","41025","51 to 60 years"
"582","41025","61 to 65 years"
"583","41025","66 to 70 years"
"584","41025","More than 71 years"
"585","41025","Unknown age"
"586","41025","Male"
"587","41025","Female"
"588","41025","Married"
"589","41025","Unmarried"
"590","41030","Alkmaar"
"591","41030","Amsterdam"
"592","41030","Den Helder"
"593","41030","Edam"
"594","41030","Enkhuizen"
"595","41030","Haarlem"
"596","41030","Haarlemmermeer"
"597","41030","Hilversum"
"598","41030","Hoorn"
"599","41030","Nieuwer Amstel"
"600","41030","Purmerend"
"601","41030","Sloten"
"602","41030","Texel"
"603","41030","Velsen"
"604","41030","Weesp"
"605","41030","Zaandam"
"606","41030","A"
"607","41030","B"
"608","41030","C"
"609","41030","D"
"610","41030","12 to 13 years"
"611","41030","14 to 15 years"
"612","41030","16 to 17 years"
"613","41030","18 to 22 years"
"614","41030","23 to 35 years"
"615","41030","36 to 50 years"
"616","41030","51 to 60 years"
"617","41030","61 to 65 years"
"618","41030","66 to 70 years"
"619","41030","More than 71 years"
"620","41030","Male"
"621","41030","Female"
"622","41030","Married"
"623","41030","Unmarried"
