"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
1876 - 1864" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afslagers>" 1 "44320"
"384" "Afslagers" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afslagers>" 1 "44320"
"386" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "O." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"403" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 4 "95000"
"420" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "O." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"437" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"454" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 8 "95000"
"471" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"488" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"505" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 6 "95000"
"522" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 5 "95000"
"539" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"556" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"573" "Afwerken van huizen" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"590" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 5 "95000"
"607" "Afwerken van huizen" "A" "61 - 65
