"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
"228415" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "36 - 50
1863 - 1849" "VROUWEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228428" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "18 - 22
1881 - 1877" "MANNEN" "O." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228441" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "18 - 22
1881 - 1877" "MANNEN" "O." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228454" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228467" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "16 of 17
1883 - 1882" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228480" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 3 "41030"
"228493" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228506" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "14 of 15
1885 - 1884" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228519" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "36 - 50
1863 - 1849" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228532" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228545" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "18 - 22
1881 - 1877" "MANNEN" "O." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228558" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "51 - 60
1848 - 1839" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228571" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 4 "41030"
"228584" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "66 - 70
1833 - 1829" "VROUWEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228597" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "36 - 50
1863 - 1849" "VROUWEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228610" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228623" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "O." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228636" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "12 of 13
1887 - 1886 " "MANNEN" "O." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228649" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "36 - 50
1863 - 1849" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228662" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "36 - 50
1863 - 1849" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 3 "41030"
"228675" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "18 - 22
1881 - 1877" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 3 "41030"
"228688" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "C" "23 - 35
1876 - 1864" "MANNEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228701" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228713" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228725" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228737" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228749" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228761" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228773" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228785" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228797" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228809" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228821" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228833" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228845" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228857" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "51 - 60
1848 - 1839" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228869" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228881" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228893" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228905" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"228917" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228929" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228941" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "66 - 70
1833 - 1829" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228953" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228965" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228977" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"228989" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"229001" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"229013" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"229025" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 2 "41030"
"229037" "Handel in papier-, boeken kunstwerken (incl. dagbladen)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_papier-__boeken_kunstwerken__incl__dagbladen_>" 1 "41030"
"229049" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229066" "Handel in voorwerpen van kleeding" "A" "18 - 22
1881 - 1877" "MANNEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229083" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229100" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "VROUWEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229117" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229134" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "VROUWEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229151" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "VROUWEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229168" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229185" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "VROUWEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229202" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Texel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229219" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229236" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 20 "41025"
"229253" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229270" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229287" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 7 "41025"
"229304" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229321" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229338" "Handel in voorwerpen van kleeding" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229355" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229372" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229389" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229406" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Texel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229423" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "VROUWEN" "G." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229440" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Texel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229457" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 20 "41025"
"229474" "Handel in voorwerpen van kleeding" "A" "18 - 22
1881 - 1877" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229491" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229508" "Handel in voorwerpen van kleeding" "A" "61 - 65
1838 - 1834" "VROUWEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229525" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229542" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "VROUWEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229559" "Handel in voorwerpen van kleeding" "A" "18 - 22
1881 - 1877" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229576" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 5 "41025"
"229593" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "VROUWEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229610" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229627" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229644" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229661" "Handel in voorwerpen van kleeding" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 8 "41025"
"229678" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229695" "Handel in voorwerpen van kleeding" "A" "18 - 22
1881 - 1877" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229712" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 4 "41025"
"229729" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 4 "41025"
"229746" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 4 "41025"
"229763" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229780" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "VROUWEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 2 "41025"
"229797" "Handel in voorwerpen van kleeding" "A" "66 - 70
1833 - 1829" "VROUWEN" "G." "Texel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229814" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 3 "41025"
"229831" "Handel in voorwerpen van kleeding" "A" "61 - 65
1838 - 1834" "VROUWEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229848" "Handel in voorwerpen van kleeding" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229865" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 7 "41025"
"229882" "Handel in voorwerpen van kleeding" "A" "23 - 35
1876 - 1864" "VROUWEN" "O." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229899" "Handel in voorwerpen van kleeding" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229916" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 4 "41025"
"229933" "Handel in voorwerpen van kleeding" "A" "36 - 50
1863 - 1849" "VROUWEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Handel_in_voorwerpen_van_kleeding>" 1 "41025"
"229950" "Handel in voorwerpen van kleeding" "A" "23 - 35
